Data Source,Model Name,epoch,fid,RMSE,Speckle Index,SNR,PSNR,SSIM,Sharpness
production_uint8_O21CVPL00001_13_01_16,cGAN,test_25,11.954550476610443,12.240725817033505,0.15061885113931195,38.260513989755,26.68454681632209,0.6837011751593299,69.90945866779907
2x,N/A,N/A,NaN,6.232792143301034,0.2670176289677027,25.151454623736473,32.24159045999928,0.7295317004365953,729.6521423587164
4x,cGAN,NaN,NaN,3.60783534609086,0.20211170539810489,28.119181925733983,36.9903779955481,0.8861204033679695,402.61331729538364
6x,cGAN,NaN,NaN,2.1129834581564544,0.17410946940274166,29.832696829445098,41.637027762703795,0.9573183468016523,293.90144859491545
1x,cGAN,NaN,NaN,9.50442184546019,0.3598310435556141,22.16856304506811,28.57721428378717,0.5492675384493888,1381.6605446383592
1x,cGAN,NaN,NaN,9.42767864901758,0.35925314894556565,22.181052738750086,28.6435717158615,0.5552967756282142,1377.9694584286292
3x,cGAN,NaN,NaN,4.672239756254929,0.22711474107249421,26.8847906324549,34.744533035406285,0.8251649512781093,517.3141752267462
7x,cGAN,NaN,NaN,1.417173073249614,0.16496138544894956,30.48183637554922,45.10652959753324,0.9802608350607365,262.75422562805784
B
2x,N/A,N/A,NaN,6.1789824580236985,0.2683294094867848,25.14907316060096,32.31799112987733,0.7335697646937295,743.2266912676918
3x,cGAN,NaN,NaN,4.586221792145052,0.22787407734148096,26.878877888793063,34.905858302302455,0.829242133051431,528.2890274058357
4x,cGAN,NaN,NaN,3.574615099704387,0.20438583748269432,28.08791363488515,37.07212838381458,0.8876988428738164,422.8601590950895
5x,cGAN,NaN,NaN,2.8104820600966995,0.18900958717591326,29.025096798556245,39.1627581688689,0.9274675464024146,362.2583365599382
6x,cGAN,NaN,NaN,2.095343530693295,0.1771002396440282,29.782023768826214,41.710884869182145,0.9578416539383411,318.9623878564835
7x,cGAN,NaN,NaN,1.4066731388384348,0.16807499452937188,30.41642940450268,45.167683483867194,0.9804887568926367,288.6871600264859
