Model Name,epoch,fid,RMSE,Speckle Index,SNR,PSNR,SSIM,Sharpness
production_O21CVPL00001_13_01_16,test_20,24.167971220528536,8.203659550886279,0.17302970630625328,40.08075778002876,29.886601834699235,0.7155237252399584,291.9145847858289
production_O21CVPL00001_13_01_16_v1,test_28,35.05690471838181,18.691829422378227,0.27274231072437805,38.453682099591234,22.93985632249889,0.5992852217835976,353.2226425659448
production_O21CVPL_rmNans_v2,test_13,20.611053209862362,9.896159948265076,0.16966010995363712,38.479728105804725,28.301308407110128,0.7127203541430694,271.14916226513196
production_O21CV00001_13_01_16,test_15,34.340431082160535,13.708217785209422,0.24763519366341094,38.38044374980779,25.50967913500589,0.653489488810105,436.1990748185757
production_1x,NaN,NaN,36.484906103267164,0.3603699938588969,22.15300076142413,16.89316707666542,0.45936952961987565,1849.0507630221152
production_O21CVPL00001_13_01_16,test_11,17.251750253966513,18.20462525395791,0.26359904060696304,39.170698287638615,23.3315257737446,0.5886984519525946,362.06594955196545
production_O21CVPL00001_13_01_16_v1,test_12,32.20152541605574,25.11944253528965,0.2980351686995606,38.67788468940937,20.152738131106368,0.4868790216751187,284.4442096369636
production_O21CVPL_rmNans_v2,test_19,15.535419047432761,16.14316413731569,0.22711093673870336,38.331327256949024,24.02951911416373,0.6371541975930636,282.94209313435726
production_O21CV00001_13_01_16,test_32,29.780200929008537s,8.110172793840139,0.18799064541415517,39.36319587975511,30.004732295936194,0.7033002138138014,457.5843152014673
production_1x,NaN,NaN,36.484906103267164,0.3603699938588969,22.15300076142413,16.89316707666542,0.45936952961987565,1849.0507630221152
production_O21CVPL00001_13_01_16,test_31,17.03868161665262,8.73750012392895,0.14824744839044235,40.70531434515422,29.549376242181168,0.7066685319502577,195.86415049314098
production_O21CVPL00001_13_01_16_v1,test_33,33.58137053520801,24.652641566279918,0.287683390526998,39.132286294570434,20.320429103865692,0.4932241353024879,288.1844929172862
production_O21CVPL_rmNans_v2,test_45,15.659139522790246,9.99682005452484,0.1862917976833358,39.23581105498231,28.353914072423155,0.6996501690695913,298.81481222619016
production_O21CV00001_13_01_16,test_35,29.666050032804243,8.844414344892357,0.17850835198556808,38.673349849465595,29.304097566946396,0.7089600498777373,417.0673369573064
production_1x,NaN,NaN,36.484906103267164,0.3603699938588969,22.15300076142413,16.89316707666542,0.45936952961987565,1849.0507630221152
production_O21CVPL00001_13_01_16,test_3,12.965241914417346,19.089113297106962,0.26923446188550004,39.545900091035,23.21030360955309,0.5567894726891353,392.4702541237995
production_O21CVPL00001_13_01_16_v1,test_1,24.776094959556577,14.505042137025487,0.15206283782266128,36.83853331601894,24.98016182656158,0.637142681727809,398.9786328754898
production_O21CVPL_rmNans_v2,test_1,12.57191164762748,22.609219260072518,0.27436152041055695,37.223277057188355,21.0745424393493,0.4997893746628747,296.197495485427
production_O21CV00001_13_01_16,test_1, 28.8319221642879145,9.443729867825546,0.15681294562517412,37.75642162438231,28.687871268216433,0.6970889289574917,218.4920771395438
production_1x,NaN,NaN,36.484906103267164,0.3603699938588969,22.15300076142413,16.89316707666542,0.45936952961987565,1849.0507630221152
